index,anchor_list_denser
0,16
1,18
2,20
3,21
4,23
5,25
6,27
7,30
8,32
9,35
10,39
11,42
12,46
13,50
14,54
15,59
16,64
17,70
18,77
19,83
20,91
21,99
22,108
23,118
24,128
25,140
26,153
27,166
28,182
29,198
30,216
31,235
32,256
33,280
34,305
35,332
36,363
37,395
38,431
39,470
40,512
41,559
42,609
43,664
44,725
45,790
46,862
47,940
48,1024
49,1117
50,1218
51,1328
52,1449
53,1580
54,1723
55,1879
56,2048
57,2234
58,2436
59,2656
60,2897
61,3159
62,3445
63,3757
64,4096
65,4467
66,4871
67,5312
68,5793
69,6317
70,6889
71,7513
72,8192
73,8934
74,9742
75,10624
76,11586
77,12634
78,13778
79,15025
80,16384
81,17867
82,19484
83,21248
84,23171
85,25268
86,27555
87,30049
88,32768
89,35734
90,38968
91,42495
92,46341
93,50536
94,55109
95,60097
96,65536
97,71468
98,77936
99,84990
100,92682
101,101071
102,110218
103,120194
104,131072
105,142936
106,155872
107,169980
108,185364
109,202141
110,220436
111,240388
112,262144
113,285871
114,311744
115,339959
116,370728
117,404282
118,440872
119,480775
120,524288
121,571741
122,623488
123,679918
124,741456
125,808563
126,881744
127,961549
128,1048576
129,1143481
130,1246975
131,1359835
132,1482911
133,1617126
134,1763488
135,1923097
136,2097152
